,Date,time,handle,tweet,compound,American,Delta,Southwest,United,tweets_clean1,hashtags,cluster_num
5054,2017-10-29,11:18:44,loire1969,@Reagan_Airport @Reagan_Airport @SouthwestAir @AmericanAir @united @FAANews WORST NEIGHBORS EVER! Ruining another wknd with bombing runs over us. #Sunday,-0.7978,1.0,0.0,1.0,1.0,worst neighbors ever ruining another wknd bombing runs us #sunday,['#sunday'],0
5644,2017-10-28,16:03:38,SonneMondWasser,@united no thanks.... nothing hip about flying through crappy EWR to get to MIA. You lost this biz frequent flier to @americanair,-0.876,1.0,0.0,0.0,1.0,thanks nothing hip flying crappy ewr get mia lost biz frequent flier,,2
5702,2017-10-28,14:59:50,loire1969,@Reagan_Airport @SouthwestAir @AmericanAir @united @FAANews U R THE WORST NEIGHBORS EVER! Ruining yet another wknd with bombing runs. FUCK U,-0.9073,1.0,0.0,1.0,1.0,worst neighbors ever ruining yet another wknd bombing runs fuck,,0
5753,2017-10-28,13:52:13,loire1969,@Reagan_Airport @SouthwestAir @AmericanAir @united @FAANews U R THE WORST NEIGHBORS EVER! Ruining yet another wknd with bombing runs ,-0.7978,1.0,0.0,1.0,1.0,worst neighbors ever ruining yet another wknd bombing runs,,0
5795,2017-10-28,13:01:30,loire1969,@FAANews @WhiteHouse @POTUS @USDOT @Reagan_Airport @SouthwestAir @AmericanAir @united @FAANews U R THE WORST NEIGHBORS EVER! Ruining yet another wknd with bombing runs over us,-0.7978,1.0,0.0,1.0,1.0,worst neighbors ever ruining yet another wknd bombing runs us,,0
5796,2017-10-28,12:58:03,loire1969,"@Reagan_Airport @SouthwestAir @AmericanAir @united @FAANews you are flying so low over us, work folks on CC asked if I was being attacked!",-0.7213,1.0,0.0,1.0,1.0,flying low us work folks credit card asked attacked,,4
6132,2017-10-28,00:57:41,DawnGilbertson,@BenjiStawski @AmericanAir @united I didn’t pay for seat either way. So it’s either new policy or misinformation!,-0.4574,1.0,0.0,0.0,1.0,did not pay seat either way either new policy misinformation,,1
6137,2017-10-28,00:55:13,DawnGilbertson,"@BenjiStawski @AmericanAir @united I had problems initially on app, but no problem at  on either leg. @AmericanAir told me online check-in is allowed",-0.802,1.0,0.0,0.0,1.0,problems initially app problem either leg told online checkin allowed,,3
6372,2017-10-27,21:31:05,TaylenandKatie,@NancyLeeGrahn @united I feel bad 4 people who have to work for @united @americanair Their executives are creating a horrible environment/experience for everyone.,-0.7003,1.0,0.0,0.0,1.0,feel bad people work executives creating horrible environmentexperience everyone,,4
6483,2017-10-27,19:35:36,NovaCodeLA,@united customer support team is the worst. Even worse on social media platforms. Why did I choose united over @AmericanAir today why.... :(,-0.6808,1.0,0.0,0.0,1.0,customer support team worst even worse social media platforms choose united today,,0
6517,2017-10-27,19:09:58,loire1969,"@Reagan_Airport @SouthwestAir @AmericanAir @united @FAANews you are flying so low over us, it’s like we live in a war zone. What the hell!",-0.876,1.0,0.0,1.0,1.0,flying low us like live war zone hell,,4
6833,2017-10-27,14:22:42,YerboutiSheik,"@bayareahausfrau @united I had no problem at all, Frau. Prolly cuz I flew @AmericanAir.",-0.5994,1.0,0.0,0.0,1.0,problem frau prolly because flew,,3
8083,2017-10-26,11:29:53,wwsimmonds,@united is possibly the worst run company in America. And I’m being democratic in my judgement. Yep. Flying @AmericanAir from now on.,-0.4404,1.0,0.0,0.0,1.0,possibly worst run company america i am democratic judgement yep flying,,0
8296,2017-10-26,01:51:31,LOOKINIKOOL,"@SarahThyre @superchunk @AmericanAir American has been trending towards @United , now they just need to drag a black gay person off the ️, proving who’s worse 🤣🤣",-0.6124,1.0,0.0,0.0,1.0,american trending towards need drag black gay person proving who is worse 🤣🤣,,4
8409,2017-10-25,23:31:58,kcad13,@TBBJnewsroom @united @Delta @AmericanAir They've also settled more customer abuse lawsuits this year than them.,-0.7463,1.0,1.0,0.0,1.0,they have also settled customer abuse lawsuits year,,3
8473,2017-10-25,22:32:30,KenSilverstein1,Thxs @AmericanAir 4 fucking me RUTA 2day when I cld have gotten fucked by @SouthwestAir @Delta or @United. Ur CEOs shld have hedz lopped off,-0.6597,1.0,1.0,1.0,1.0,thanks fucking ruta cld gotten fucked your ceos shld hedz lopped,,1
8515,2017-10-25,21:53:13,theEHRGuy,Airlines beat up elderly Asians and mistreat black people.It's 2017 airlines CEOs! Bigotry has to stop at the top!Cc: @united @AmericanAir,-0.4184,1.0,0.0,0.0,1.0,airlines beat elderly asians mistreat black peopleits airlines ceos bigotry stop topcc,,3
8521,2017-10-25,21:46:48,ATGriff1315,@AmericanAir Unfortunately not enough flexibility. I requested a refund. @united gave full refund. @AmericanAir refused full refund.,-0.6844,1.0,0.0,0.0,1.0,unfortunately enough flexibility requested refund gave full refund refused full refund,,2
8866,2017-10-25,16:15:45,Iz_Here,@Deanofcomedy We're running out of airlines that  don't behave like corporate-level assholes. @AmericanAir @united,-0.7105,1.0,0.0,0.0,1.0,running airlines do not behave like corporatelevel assholes,,3
9072,2017-10-25,12:27:35,KingAcer33,"@AmericanAir @jessladera Does that come with a side of extra racism and discrimination for black passengers as well? If so, I'd rather fly @united or @SouthwestAir",-0.4588,1.0,0.0,1.0,1.0,come side extra racism discrimination black passengers well i would rather fly,,4
9207,2017-10-25,04:28:36,_diannaaa,@AmericanAir @united They offer you nothing!!!!!!! &amp; expect you to travel internationally with one FREE bag. When it was always TWO  smh smh smh,-0.4651,1.0,0.0,0.0,1.0,offer nothing and expect travel internationally one free bag always two shaking my head shaking my head shaking my head,,2
9209,2017-10-25,04:26:24,_diannaaa,I swear I fucking hate both @AmericanAir &amp; @united equally. Can’t even hate 1more than the other Bc both are THE ABSOLUTE WORSEE!! #FuckYOU,-0.868,1.0,0.0,0.0,1.0,swear fucking hate and equally can not even hate bc absolute worsee #fuckyou,['#fuckyou'],1
9877,2017-11-03,19:30:13,RawTravelTV,Hey @AmericanAir &amp; @Delta ur #EconomyPlus misleading fares just cost u my biz. Just booked on @SouthwestAir #Greedy #Seriously? #whatnext,-0.4019,1.0,1.0,1.0,0.0,hey and your #economyplus misleading fares cost biz booked #greedy #seriously #whatnext,"['#economyplus', '#greedy', '#seriously', '#whatnext']",1
9886,2017-11-03,19:24:30,robertohanson,@CandiceMadsen @AmericanAir Classic! Drives me nuts when @Delta charges a change fee to leave an overbooked flight--although I usually talk them out of charging me.,-0.5983,1.0,1.0,0.0,0.0,classic drives nuts charges change fee leave overbooked flightahough usually talk charging,,1
10168,2017-11-03,15:56:24,keitahall,@Delta allows u to upgrade as long as u are paying even w/o the elite status. @AmericanAir Im disappointed that I wasnt allowed to spend $$,-0.4767,1.0,1.0,0.0,0.0,allows upgrade long paying even wo elite status i am disappointed was not allowed spend,,2
10175,2017-11-03,15:53:00,keitahall,This is one of the reasons I travel more w/ @Delta. @AmericanAir won't allow me to spend money w/o an elite status . How crazy is that?,-0.4707,1.0,1.0,0.0,0.0,one reasons travel will not allow spend money wo elite status crazy,,4
10942,2017-11-02,23:39:20,DrLauraMiles,@Delta @AmericanAir won’t redund my flight because the hurricane destroyed the resort and conference was rescheduled #notcool,-0.4939,1.0,1.0,0.0,0.0,will not redund flight hurricane destroyed resort conference rescheduled #notcool,['#notcool'],1
11130,2017-11-02,21:31:19,apro4real,Searching for flights. Why is @AmericanAir the cheapest? We are not using that airline! @Delta y'all need to lower your prices!,-0.4184,1.0,1.0,0.0,0.0,searching flights cheapest using airline you all need lower prices,,0
11274,2017-11-02,20:02:57,wiccagirl7,"@AmericanAir Low and behold, they changed the baggage carousel and told no one. How about that? @Delta would give me 2500 miles for this.",-0.5106,1.0,1.0,0.0,0.0,low behold changed baggage carousel told one would give miles,,2
11592,2017-11-02,16:24:19,dubephnx,Breaking! @Delta @AmericanAir @UnitedAirways stocks plummet due to Manafort &amp; Gates losing passports! @MSNBC @CNN @USATODAY @azcentral @ABC,-0.4912,1.0,1.0,0.0,1.0,breaking stocks plummet due manafort and gates losing passports,,2
11949,2017-11-02,11:50:22,HerzbergNW,@delta people waiting at SNA to drop bags. Your bag drop is empty. @AmericanAir is busy helping customers.,-0.4215,1.0,1.0,0.0,0.0,people waiting sna drop bags bag drop empty busy helping customers,,2
12008,2017-11-02,11:03:44,anniekeck,Changing my name on my various airline accounts is worse than eating a Harry Potter rotten egg yolk jelly bean - help!!! @AmericanAir @Delta @SouthwestAir ️️ #whyiwaitedtwoyears,-0.6784,1.0,1.0,1.0,0.0,changing name various airline accounts worse eating harry potter rotten egg yolk jelly bean help ️️ #whyiwaitedtwoyears,['#whyiwaitedtwoyears'],0
12146,2017-11-02,04:54:06,Selma_Fonseca,"@AmericanAir For 2 years I have been traveling w @AmericanAir and never get upgraded, I am tired of this. With @delta I was always upgraded.",-0.4404,1.0,1.0,0.0,0.0,years traveling never get upgraded tired always upgraded,,3
12820,2017-11-01,18:06:52,edmart00,So disappointed with the  pricing out of #@sju. You are killing us. No availability or $600+ one way. @AmericanAir @JetBlue @SouthwestAir @Delta,-0.8748,1.0,1.0,1.0,0.0,disappointed pricing #sju killing us availability one way,['#sju'],2
14729,2017-10-30,22:42:17,Chrisjo92349555,@AmericanAir @Delta actually refunded flights to Puerto Rico American say you can still travel to the devastated island . And do what I ask?,-0.6124,1.0,1.0,0.0,0.0,actually refunded flights puerto rico american say still travel devastated island ask,,4
15059,2017-10-30,18:58:39,bclarkalexander,@AmericanAir truly does not care about the rudeness of their employees! So nothing will change. I recently wrote a complaint as a first class passenger and it made no difference. Why should I keep giving them my money?! They are my secondary to @Delta.,-0.5875,1.0,1.0,0.0,0.0,truly care rudeness employees nothing change recently wrote complaint first class passenger made difference keep giving money secondary,,2
15129,2017-10-30,18:19:08,PollyJohns,Boo @AmericanAir  Most unfriendly family airlines! No pre boarding for families with toddlers. 30 minutes to board in BNA to CLT fly @Delta,-0.6468,1.0,1.0,0.0,0.0,boo unfriendly family airlines pre boarding families toddlers minutes board bna c fly,,3
15290,2017-10-30,16:34:58,bourgeoisbrain,"@WREKK1 @AmericanAir @Delta I agree! My daughter, @DynastyKid_ was returning to college. His mistake forced her to spend her last $80 to get her belongings to VA. ",-0.4926,1.0,1.0,0.0,0.0,agree daughter returning college mistake forced spend last get belongings va,,2
15314,2017-10-30,16:23:38,bourgeoisbrain,@WREKK1 @AmericanAir Airline fees are ridiculous! A @Delta  skycap had my daughter switch her carry-on and a checked bag and she was charged $80 at the gate!!,-0.6341,1.0,1.0,0.0,0.0,airline fees ridiculous skycap daughter switch carry on checked bag charged gate,,2
15339,2017-10-30,15:56:13,scottbailey,@AmericanAir So now my $1k roller bag that has never been checked in getting beat to hell  even @delta let be board with these bags and no status,-0.7783,1.0,1.0,0.0,0.0,roller bag never checked getting beat hell even let board bags status,,2
15426,2017-10-30,14:41:42,jdanforth,"Today I Learned: It's expensive to fly to Duluth, MN, @AmericanAir doesn't fly there, and I don't have @delta status. Unless they match? :(",-0.4404,1.0,1.0,0.0,0.0,today learned expensive fly duluth mn does not fly do not status unless match,,1
15865,2017-10-30,02:37:29,adamzerda,@tarheelchem @RDUAirport @AmericanAir No problems with @Delta ;-),-0.4404,1.0,1.0,0.0,0.0,problems,,1
15911,2017-10-30,01:52:56,NYCTheMiC,"At the hotel bar two @Delta customers had their rooms and food paid for. @AmericanAir told me ""too bad"" &amp; I can't even get a text back.",-0.5423,1.0,1.0,0.0,0.0,hotel bar two customers rooms food paid told bad and can not even get text back,,1
15927,2017-10-30,01:39:19,Kams73769006,@JetBlue  why did every other airline take off to NY? My entire family flew @Delta  or @AmericanAir and are home! Big mistake booking w you!,-0.4559,1.0,1.0,0.0,0.0,every airline take ny entire family flew home big mistake booking,,0
15938,2017-10-30,01:29:37,KimmyKossmann,"Ok @Delta after hrs of delay, time to beat my bfs flight @AmericanAir to jfk! Both flights MIA to Jfk leaving 9:50! #deltaforthewin #race",-0.5599,1.0,1.0,0.0,0.0,ok hours delay time beat bfs flight jfk flights mia jfk leavingeaforthewin #race,['#race'],1
16249,2017-10-29,22:10:55,DamianJames8,"You guys are taking advantage of a disastrous situation in St.Thomas. $1,266 for a ONE WAY to fly out. Smh! @AmericanAir @JetBlue @Delta.",-0.6696,1.0,1.0,0.0,0.0,guys taking advantage disastrous situation stthomas one way fly shaking my head,,2
16474,2017-10-29,19:54:53,sammiejoeraja,everyone I have talked to has told me @AmericanAir  is racist and I should have booked with @Delta . never on these website offer again,-0.6124,1.0,1.0,0.0,0.0,everyone talked told racist booked never website offer,,3
16478,2017-10-29,19:54:11,rightschamp,@ayyee_slim @AmericanAir @Delta They transfered me around and around. Hate dealing with airlines.,-0.5719,1.0,1.0,0.0,0.0,transfered around around hate dealing airlines,,3
16486,2017-10-29,19:47:58,TMariePR,@AmericanAir She was extremely rude. No one deserves to be treated that way. That’s why I usually fly @SouthwestAir or @Delta! I never have issues.,-0.7239,1.0,1.0,1.0,0.0,extremely rude one deserves treated way thats usually fly never issues,,2
16986,2017-10-29,13:37:39,dougstafford,@lhsmallz @Delta @AmericanAir That’s because they hate their customers @AAirlinesSucks,-0.5719,1.0,1.0,0.0,0.0,thats hate customers,,1
17138,2017-10-29,09:11:52,BroadwayBrandon,"Okay, @Delta I apologize for flying with @AmericanAir . They didn’t give me anything to drink or eat on a 4 hour flight. Wtf is this?! Women’s corrections?! ",-0.5337,1.0,1.0,0.0,0.0,okay apologize flying did not give anything drink eat hour flight wtf womens corrections,,1
17513,2017-10-28,23:19:02,JHmusicva,@AmericanAir @Delta @SouthwestAir I am pissed!!!,-0.7249,1.0,1.0,1.0,0.0,pissed,,1
17570,2017-10-28,22:13:30,katiwithoutthee,got @tilite @max_smartdrive last week &amp; SO excited to travel w/ but also terrified  @americanair @delta already broke 1 rollator each,-0.8396,1.0,1.0,0.0,0.0,got last week and excited travel also terrified already broke rollator,,4
17791,2017-10-28,18:20:49,twirling_tara,Woman I just spoke with @AmericanAir phone line. I’m disgusted - and thankful for @Delta for coming through in this tragedy we are facing.,-0.714,1.0,1.0,0.0,0.0,woman spoke phone line i am disgusted thankful coming tragedy facing,,2
17916,2017-10-28,16:24:13,coletoddd,but honestly what's the fucking deal with airline food I'm getting sick of asking this w no answers!!!! @Delta @SouthwestAir @AmericanAir,-0.7067,1.0,1.0,1.0,0.0,honestly what is fucking deal airline food i am getting sick asking answers,,0
18113,2017-10-28,13:10:55,pmlowery,When you regret cheating on @Delta with @AmericanAir because they literally just unboarded the plane with no plan or next steps,-0.8225,1.0,1.0,0.0,0.0,regret cheating literally unboarded plane plan next steps,,1
18187,2017-10-28,10:57:33,EireMegs37,@VilissaThompson @Delta @AmericanAir Incredibly stress inducing :-(,-0.7056,1.0,1.0,0.0,0.0,incredibly stress inducing,,1
18327,2017-10-28,04:01:21,_tOnT0_,Fuck @AmericanAir you guys are the slowest mother fuckers ever. @Delta always. #learnedmylesson,-0.8126,1.0,1.0,0.0,0.0,fuck guys slowest mother fuckers ever always #learnedmylesson,['#learnedmylesson'],3
18460,2017-10-28,01:15:36,jriveraed,@EdTransformPR Therefore I assume based on this video this is the reason @delta @AmericanAir are charging over $1000 to travel to a devastated island?,-0.6124,1.0,1.0,0.0,0.0,therefore assume based video reason charging travel devastated island,,4
18655,2017-10-27,22:52:56,keepinitclutchh,"@crys_romero @AmericanAir @Delta Ooh, don’t anger a frequent flyer ",-0.5719,1.0,1.0,0.0,0.0,ooh do not anger frequent flyer,,3
19377,2017-10-27,14:59:43,Billy_Bell,@AmericanAir has THE most incompetent customer service I have ever experienced. This is why I fly @Delta,-0.5256,1.0,1.0,0.0,0.0,incompetent customer service ever experienced fly,,3
19587,2017-10-27,12:03:04,TerryLinhart,The worse part of a delay and subsequent re-routing on today’s airlines is that you lose all of the upgrades. @delta @AmericanAir,-0.7964,1.0,1.0,0.0,0.0,worse part delay subsequent rerouting todays airlines lose upgrades,,3
20026,2017-10-27,00:45:50,amy_sollom,Missing you @Delta No choice but to fly @AmericanAir -- no comparison,-0.6124,1.0,1.0,0.0,0.0,missing choice fly comparison,,1
20214,2017-10-26,22:22:21,paulmcarthur,"@Delta flight: unk delay 30 min, ticket mess 30 min, computer broke 30 min, oops out of gas 20 min. Unbelievable. #FlyAmerican @AmericanAir",-0.7003,1.0,1.0,0.0,0.0,flight unk delay min ticket mess min computer broke min oops gas min unbelievable #flyamerican,['#flyamerican'],1
20724,2017-10-26,16:57:06,Poetif76,"@NBCNews @SouthwestAir can't seem 2 take off on time, @AmericanAir racially biased &amp; already hate @Delta.  Now what airline?",-0.7003,1.0,1.0,1.0,0.0,can not seem take time racially biased and already hate airline,,1
20772,2017-10-26,16:24:04,Stephaniefishm4,"@Delta @AmericanAir JOHN KELLY said aviation keeps him up at night? I see you JOHN, you racist pig.",-0.6124,1.0,1.0,0.0,0.0,john kelly said aviation keeps night see john racist pig,,3
20777,2017-10-26,16:22:10,Stephaniefishm4,"While the GOP AND FRIENDS distracted us with complaints about @Delta, the other culprits were @AmericanAir and their racist practices:",-0.6448,1.0,1.0,0.0,0.0,gop friends distracted us complaints culprits racist practices,,3
21434,2017-10-26,02:30:45,roberto_joel47,@wutspuberty @delta @mas @americanairlines we bombing this shit me and @wutspuberty Really?,-0.6428,1.0,1.0,0.0,0.0,bombing shit really,,3
21451,2017-10-26,02:17:05,Free_YoutubeSub,@wutspuberty @delta @mas @americanairlines we bombing this shit me and @wutspuberty Hmm,-0.6428,1.0,1.0,0.0,0.0,bombing shit,,3
21476,2017-10-26,02:04:50,xxkouhailxx,@wutspuberty @delta @mas @americanairlines we bombing this shit me and @wutspuberty Follow4Follow,-0.6428,1.0,1.0,0.0,0.0,bombing shit follow4follow,,3
21540,2017-10-26,01:29:30,StivenLima17,@wutspuberty @delta @mas @americanairlines we bombing this shit me and @wutspuberty Yes!!!,-0.5308,1.0,1.0,0.0,0.0,bombing shit yes,,3
21552,2017-10-26,01:21:36,Lovely_MJ13,@wutspuberty @delta @mas @americanairlines we bombing this shit me and @wutspuberty Whattttttttttt?,-0.6428,1.0,1.0,0.0,0.0,bombing shit whattttttttttt,,3
21648,2017-10-26,00:13:51,ABdesCayes,@AmericanAir @Delta it’s a shame for tickets prices to be $800+ to go to Haiti in December. Do something about it!,-0.5255,1.0,1.0,0.0,0.0,shame tickets prices go haiti december something,,4
21649,2017-10-26,00:13:06,ovorobo,• no bottled water waiting on seat when you board• no electrical outlets • no bourbon • no pillows @Delta 1st class &gt;&gt; @AmericanAir 1st,-0.7783,1.0,1.0,0.0,0.0,bottled water waiting seat board• electrical outlets bourbon pillows class,,2
21758,2017-10-25,23:12:44,SanAri,@AmericanAir @Delta one way return $ is beyond offensive!,-0.5093,1.0,1.0,0.0,0.0,one way return beyond offensive,,2
21940,2017-10-25,21:14:52,MZ_REE27,WHY I TELL Y'ALL TO FLY @Delta . @AmericanAir customer service sucks. Sucks more to me when they didn't care to look into my @Hotwire issue,-0.7669,1.0,1.0,0.0,0.0,tell you all fly customer service sucks sucks did not care look issue,,3
22006,2017-10-25,20:04:33,Direct7E,"SpikeLee DoTheRightThing RosaParks said, No!Tamika said, Hellz WTF No! #Boycott @AmericanAir @Delta y'all bout to come upTreatright⤵",-0.8083,1.0,1.0,0.0,0.0,spikelee dotherightthing rosaparks said notamika said hellz wtf #boycott you all bout come uptreatright⤵,['#boycott'],1
22187,2017-10-25,18:03:26,nellyann76,After my terrible ordeal with @SouthwestAir looking for recommendations on who to give my business to! @JetBlue @Delta @AmericanAir,-0.5255,1.0,1.0,1.0,0.0,terrible ordeal looking recommendations give business,,1
22222,2017-10-25,17:36:35,IamDJACE,Worst airline ever is  @AmericanAir. I see why @Delta is #1,-0.6249,1.0,1.0,0.0,0.0,worst airline ever see #1,['#1'],0
22276,2017-10-25,16:52:51,sammiejoeraja,@Delta NAACP says @AmericanAir is racist and warn blacks from flying.,-0.6597,1.0,1.0,0.0,0.0,naacp says racist warn blacks flying,,3
22466,2017-10-25,14:31:31,roweneugene,@AmericanAir @USATODAY @Delta Was asked by @AmericanAir flight attendant how I afforded the ticket. How rude.,-0.4588,1.0,1.0,0.0,0.0,asked flight attendant afforded ticket rude,,2
22471,2017-10-25,14:28:23,roweneugene,@AmericanAir @USATODAY @AmericanAir had some of the worst front line staff and flight attendants. I've always flown @Delta since then.,-0.6249,1.0,1.0,0.0,0.0,worst front line staff flight attendants i have always flown since,,0
22515,2017-10-25,13:53:07,IsThatAlexJ,Wishing A New Airline Would Do MIA To BGI ... Hate @AmericanAir &amp; Their Classless Staff More Every Time  @JetBlue @Delta,-0.694,1.0,1.0,0.0,0.0,wishing new airline would mia bgi hate and classless staff every time,,1
22569,2017-10-25,13:04:39,naverlee,@AmericanAir @Delta @JetBlue $1800 to get out of Puerto Rico is gouging you should all be ashamed and publicly shamed for your behavior FU!!,-0.9289,1.0,1.0,0.0,0.0,get puerto rico gouging ashamed publicly shamed behavior fuck you,,3
22729,2017-10-25,06:35:51,dmuzz09,@Delta Home is tmrw night on 2 more Delta flights..would really hate for this to sour the first year I’ve given you deference over @AmericanAir!,-0.6468,1.0,1.0,0.0,0.0,home tmrw night dea flightswould really hate sour first year i have given deference,,1
22787,2017-10-25,04:44:50,monroeandco,@Delta @AmericanAir fill search with shit fares to trick us to select then upgrade. Your move @JetBlue @SouthwestAir,-0.5859,1.0,1.0,1.0,0.0,fill search shit fares trick us select upgrade move,,3
23146,2017-11-03,23:07:55,jshannon45,"@AmericanAir @SouthwestAir @AmericanAir...and you probably resold my seat anyway, making even more money. That's how you lose customers.",-0.4019,1.0,0.0,1.0,0.0,probably resold seat anyway making even money thats lose customers,,1
23149,2017-11-03,23:04:45,GilbGonzales,Delayed with @AmericanAir again! Sometimes I regret not booking with @SouthwestAir! ,-0.6467,1.0,0.0,1.0,0.0,delayed sometimes regret booking,,1
23274,2017-11-03,21:31:14,hideouslyhip,Thanks to @AmericanAir for kicking me off the payment page then charging me $60 per ticket. No wonder @SouthwestAir is killing it.,-0.5719,1.0,0.0,1.0,0.0,thanks kicking payment page charging per ticket wonder killing,,2
23432,2017-11-03,19:09:46,OneBlessedFella,Another boarding disaster on @AmericanAir - you guys can just walk down to watch @SouthwestAir do it rt. #thisisyourjob,-0.6249,1.0,0.0,1.0,0.0,another boarding disaster guys walk watch #thisisyourjob,['#thisisyourjob'],2
23730,2017-11-03,14:07:46,chaffy8,I feel sorry for people that have to fly on @AmericanAir. Customer service is terrible. This is why I choose @SouthwestAir any time I can.,-0.5267,1.0,0.0,1.0,0.0,feel sorry people fly customer service terrible choose time,,3
24190,2017-11-02,21:17:28,chase_howell,Yo @AmericanAir Im a platinum member &amp; have been delayed &amp; missed my connection 3 weeks in a row. @SouthwestAir wouldn’t do that to ya boi,-0.4767,1.0,0.0,1.0,0.0,yo i am platinum member and delayed and missed connection weeks row would not ya boi,,1
25170,2017-11-01,21:02:01,00russ,@AmericanAir At @SouthwestAir  they don't pull this crap.,-0.4588,1.0,0.0,1.0,0.0,do not pull crap,,1
25573,2017-11-01,12:01:19,OneBlessedFella,It’s crazy how much worse every airline is than @SouthwestAir - looking at you @AmericanAir,-0.6705,1.0,0.0,1.0,0.0,crazy much worse every airline looking,,0
25584,2017-11-01,11:32:24,kmckeaigg,Reminded why I try to never fly @AmericanAir #pilotdidntshow #”communicationproblem” Sorry I cheated @SouthwestAir,-0.5574,1.0,0.0,1.0,0.0,reminded try never fly #pilotdidntshow #communicationproblem sorry cheated,"['#pilotdidntshow', '#communicationproblem']",1
