,Date,time,handle,tweet,compound,American,Delta,Southwest,United,tweets_clean1,hashtags,cluster_num
81,2017-11-04,01:45:49,carsondehlert,yo @JetBlue is the fuckin' best. havin' the best flight of my damn life rn. fuck @united #teamblue all day baby. trust me daddi,0.7579,0.0,0.0,0.0,1.0,yo fuckin best havin best flight damn life rn fuck #teamblue day baby trust daddi,['#teamblue'],3
92,2017-11-04,01:28:15,JiggaLoew,@united a big shout out to agent Ala (maybe Aia or Ava) @ Newark! She turned the terrible day around and truly took care of me! So grateful!,0.8003,0.0,0.0,0.0,1.0,big shout agent ala maybe aia ava newark turned terrible day around truly took care grateful,,4
95,2017-11-04,01:27:16,airlineguys,@heysteph2323 @FlyingandLife @united Will send tracking number on Monday. Thanks and have a great weekend!,0.8221,0.0,0.0,0.0,1.0,send tracking number monday thanks great weekend,,0
97,2017-11-04,01:25:11,J_Holla,@united This was absolutely the best course of action and definitely not treating their customers like shit,0.7251,0.0,0.0,0.0,1.0,absolutely best course action definitely treating customers like shit,,4
110,2017-11-04,01:15:08,Artmoves1,"FYI @united : Considering previous United experiences, baggage fees and rewards limitations. United has become my last resort airline..",0.8816,0.0,0.0,0.0,1.0,fyi considering previous united experiences baggage fees rewards limitations united become last resort airline,,3
114,2017-11-04,01:11:57,flexible300,@united 597 Chicago flight returned to Vegas engine issues kudos to employees for getting us safely on the ground,0.7579,0.0,0.0,0.0,1.0,chicago flight returned vegas engine issues kudos employees getting us safely ground,,0
144,2017-11-04,00:35:19,oxlamb,@United have the same flight team on 1140 fro DEN to EWR and they were awesome on my flight last night from DEN to BIL. Great team!,0.8588,0.0,0.0,0.0,1.0,flight team fro den ewr awesome flight last night den bil great team,,0
148,2017-11-04,00:33:11,windbagmiles,"Oh neat, @united now has the new 773 flying SFO-Auckland, and there's even a smattering of Polaris awards available.",0.7184,0.0,0.0,0.0,1.0,oh neat new flying sfoauckland there is even smattering polaris awards available,,2
156,2017-11-04,00:28:59,TensoftInc,"@holgermu @united Well, hope you got a flight and will get back to CA soon!  (I like the Virgin America flights out of Dulles myself....)",0.7777,0.0,0.0,0.0,1.0,well hope got flight get back ca soon like virgin america flights dulles,,3
159,2017-11-04,00:26:49,CGal__oS,@united if u wanna play me like this it would be awesome to know abt these restrictions more than 12 hours before my flight. This is absurd,0.8402,0.0,0.0,0.0,1.0,wanna play like would awesome know abt restrictions hours flight absurd,,1
193,2017-11-03,23:56:08,chris_knox,"Hey @united I love me some 7 hour 45 minute delay on a 2 hour flight. What’s the plan to break yourself into small, better airlines?",0.7003,0.0,0.0,0.0,1.0,hey love hour minute delay hour flight what is plan break small better airlines,,0
200,2017-11-03,23:48:50,BrianAHodges46,@KenHanscom @united Been there done that. Hope you have a good seat.,0.7003,0.0,0.0,0.0,1.0,done hope good seat,,3
209,2017-11-03,23:42:36,seancarp,"@holgermu @united I've had some great luck w @United lately. Maybe I took some of your travel Karma? If so, I apologize. No flights til Dec so it's all yours",0.7571,0.0,0.0,0.0,1.0,i have great luck lately maybe took travel karma apologize flights til december,,0
210,2017-11-03,23:42:34,Bry0n01,"@united, just wanted to thank all of the  phone agents and united club reps who helped me with my 4-5 flight changes today, much appreciated",0.8225,0.0,0.0,0.0,1.0,wanted thank phone agents united club reps helped flight changes today much appreciated,,0
215,2017-11-03,23:40:30,DarrylCoulon,"Thanks, @united, for sending another lovely 737-900 to bring our Tigers over to Alabama to kick some @$$.",0.7717,0.0,0.0,0.0,1.0,thanks sending another lovely bring tigers alabama kick,,0
220,2017-11-03,23:39:40,holgermu,"@vincenzolandino @aaronscjohnson @united @AmericanAir @SouthwestAir MyPOV - Nothing scary with free re-booking, a $ is a $ when rebooking, free 2 piece luggage. Best perk - Companion Pass.",0.8225,1.0,0.0,1.0,1.0,mypov nothing scary free rebooking rebooking free piece luggage best perk companion pass,,3
226,2017-11-03,23:35:20,aaronscjohnson,"@holgermu @vincenzolandino @united @AmericanAir @SouthwestAir Yes, Hawaii will be great!  Hope you make it home soon.",0.8748,1.0,0.0,1.0,1.0,yes hawaii great hope make home soon,,3
229,2017-11-03,23:31:13,holgermu,@aaronscjohnson @vincenzolandino @united @AmericanAir @SouthwestAir Agreed. #1. Not flying to #Mumbai yet. Excited about #Hawaii coming. Companion Pass is best loyalty deal in their air!,0.9098,1.0,0.0,1.0,1.0,agreed #1 flying #mumbai yet excited #hawaii coming companion pass best loyay deal air,"['#1', '#mumbai', '#hawaii']",3
235,2017-11-03,23:27:09,Djtechlive,@avante_guarde @united It was a mess but it seems to be fine right now so keeping it positive and moving along! I just didn’t want to miss this charity event.,0.8993,0.0,0.0,0.0,1.0,mess seems fine right keeping positive moving along did not want miss charity event,,3
254,2017-11-03,23:13:15,celineboss,"1/2 Hey @United, it's cute that you make your personal device in-flight entertainment seem like a perk but...",0.8074,0.0,0.0,0.0,1.0,hey cute make personal device inflight entertainment seem like perk,,3
295,2017-11-03,22:39:37,kalerae2,Shoutout to @united for being so amazing on my flight from MLPS to LAX. The service has been wonderful! I feel so taken care of! #impressed,0.9278,0.0,0.0,0.0,1.0,shoutout amazing flight mlps lax service wonderful feel taken care #impressed,['#impressed'],1
309,2017-11-03,22:27:48,nvw12,"@chudson @united Me:  That's my home airport, why didn't I know?   Google reveals you need an invite and it's a secret!  @chudson I'm glad it was delightful!",0.8395,0.0,0.0,0.0,1.0,thats home airport did not know google reveals need invite secret i am glad delightful,,3
324,2017-11-03,22:17:40,WhoDatInSanFran,"@united Now I understand.  If I pay $600 extra for a fare that lets me upgrade, but I can't upgrade, I shd be happy: I spent more, so more miles.",0.705,0.0,0.0,0.0,1.0,understand pay extra fare let us upgrade can not upgrade shd happy spent miles,,3
327,2017-11-03,22:16:37,stfu0314,Giving an awesome shoutout to @united customer care agent Timmy who helped me with my ticket reservation! 5 star for you #happy,0.8748,0.0,0.0,0.0,1.0,giving awesome shoutout customer care agent timmy helped ticket reservation star #happy,['#happy'],4
329,2017-11-03,22:15:19,linzreese,@united Thanks for the safe flight back to Indiana. There’s no place like home! #IN #travel #flying,0.75,0.0,0.0,0.0,1.0,thanks safe flight back indiana there is place like home #in #travel #flying,"['#in', '#travel', '#flying']",0
330,2017-11-03,22:15:13,richardkerris,Hello #Newark / #NYC  Thanks for a great flight @united,0.7906,0.0,0.0,0.0,1.0,hello #newark #nyc thanks great flight,"['#newark', '#nyc']",0
344,2017-11-03,22:01:54,MrClarendon,It seems that @united is too busy celebrating the Astros to support their customers #badservice,0.7506,0.0,0.0,0.0,1.0,seems busy celebrating astros support customers #badservice,['#badservice'],3
347,2017-11-03,21:59:46,troopermover,.@united I have 2 download app 2 get inflight entertainment but can't download on plane w/out paying 4 wifi?! Thanks 4 the heads up B4hand ,0.722,0.0,0.0,0.0,1.0,united download app get inflight entertainment can not download plane wout paying wifi thanks heads b4hand,,2
356,2017-11-03,21:51:16,gen10hay,Cheers to @united for helping us out after our flight this morning. Happy to be safe and back en route! See you soon World Cup! ,0.9097,0.0,0.0,0.0,1.0,cheers helping us flight morning happy safe back en route see soon world cup,,0
394,2017-11-03,21:18:40,jennrose2001,#myunitedjourney sending my boy unaccompanied off on an adventure via @united thx for taking great care of him,0.9022,0.0,0.0,0.0,1.0,#myunitedjourney sending boy unaccompanied adventure thx taking great care,['#myunitedjourney'],4
409,2017-11-03,21:06:02,Chapchop911,Nothing like being delayed an hour on runway and told you will get free @directtv for your troublesAFTER you’ve already paid thanks @united,0.7783,0.0,0.0,0.0,1.0,nothing like delayed hour runway told get free troublesafter you have already paid thanks,,3
410,2017-11-03,20:57:23,METouhey,@united GS team at IAD always delivers great customer experience / service - appreciate the ride from A to C today. #CustomerExperience,0.7783,0.0,0.0,0.0,1.0,gs team iad always delivers great customer experience service appreciate ride today #customerexperience,['#customerexperience'],4
419,2017-11-03,20:48:20,WhoDatInSanFran,@united What premier benefits are received on a W fare that aren't received on an S fare?  It's int'l so no benefit on complimentary upgrades.,0.7107,0.0,0.0,0.0,1.0,premier benefits received fare are not received fare international benefit complimentary upgrades,,3
423,2017-11-03,20:43:03,ramseyboeckholt,Really enjoying my @united Premier Silver priority boarding benefit.,0.7713,0.0,0.0,0.0,1.0,really enjoying premier silver priority boarding benefit,,3
424,2017-11-03,20:42:33,YKulp,Good to see @SchneiderNA providing safe control on the @united jetway at @DetroitAirport,0.7003,0.0,0.0,0.0,1.0,good see providing safe control jetway,,0
428,2017-11-03,20:36:46,chezhoff,Thanks @united for the great service at the D concourse #unitedclub #cxmatters #loyalty,0.7906,0.0,0.0,0.0,1.0,thanks great service concourse #unitedclub #cxmatters #loyay,"['#unitedclub', '#cxmatters', '#loyay']",4
436,2017-11-03,20:26:49,NickSanft,Thank you @united for another great flight!!,0.8011,0.0,0.0,0.0,1.0,thank another great flight,,0
442,2017-11-03,20:04:03,AlexCleary373,@GMC2021 @united She will always be our queen of the skys   thank you once again Boeing 747 queen of the skys it was a pleasure loving and flying you,0.8779,0.0,0.0,0.0,1.0,always queen skys thank boeing queen skys pleasure loving flying,,3
452,2017-11-03,19:43:33,accatalano,"Nice touch with the World Series congrats, @united!",0.7574,0.0,0.0,0.0,1.0,nice touch world series congrats,,2
461,2017-11-03,19:31:45,GMC2021,"Perhaps a bit late, but thanks for the memories ( @united )Queen of the Skies! You will surely be missed.",0.7345,0.0,0.0,0.0,1.0,perhaps bit late thanks memories queen skies surely missed,,3
465,2017-11-03,19:23:50,lpizza38,"Shout out to @iah and @united for the lactation room in terminal C! It was nice to have a quiet, clean place for #emilia and I! #lactation",0.7256,0.0,0.0,0.0,1.0,shout lactation room terminal nice quiet clean place #emilia #lactation,"['#emilia', '#lactation']",2
468,2017-11-03,19:20:41,dklompsma,@united ua210 45 mns early! Thanks! I’m sure I’ll enjoy my weekend now ,0.8395,0.0,0.0,0.0,1.0,ua210 mns early thanks i am sure i will enjoy weekend,,2
469,2017-11-03,19:16:54,COFlyerCLE,Love this new feature in the @United app!  And thankful to the ground crew EWR for getting my bag from B -&gt; C in short order!,0.8585,0.0,0.0,0.0,1.0,love new feature app thankful ground crew ewr getting bag short order,,0
494,2017-11-03,18:50:21,MichelleDani92,"@united Still unable to book @united! Just trying to visit my best friend in Denver, please help!",0.9183,0.0,0.0,0.0,1.0,still unable book trying visit best friend denver please help,,0
504,2017-11-03,18:41:15,paestef,And off again! Argh @united can you please just retire your E-145 fleet!  These are NOT fun to…,0.7339,0.0,0.0,0.0,1.0,argh please retire e145 fleet fun to,,3
511,2017-11-03,18:35:43,jj25151,@xoxoashleyadams @united Good luck getting your stuff back. ,0.7096,0.0,0.0,0.0,1.0,good luck getting stuff back,,0
515,2017-11-03,18:33:44,BrimbleStuff,"@united slight delay DEN - LAX was enjoyable!! U Club west staff in DEN is AMAZING! Kris O, Aimee at service desk win!!!!  ",0.8075,0.0,0.0,0.0,1.0,slight delay den lax enjoyable club west staff den amazing kris aimee service desk win,,1
531,2017-11-03,18:19:28,netbanker,"Marketing: Pretty rich offer from @lendingclub. 1 @united mile per $ invested up to 100,000 through 18 Jan.",0.7783,0.0,0.0,0.0,1.0,marketing pretty rich offer mile per invested january,,2
553,2017-11-03,17:47:03,brianmehta,Great story to share  @united - well done,0.8126,0.0,0.0,0.0,1.0,great story share well done,,1
557,2017-11-03,17:34:22,KoleUnited,Gotta love be perks @united gives us with flight benefits! #orangebeach #Alabama,0.7959,0.0,0.0,0.0,1.0,gotta love perks gives us flight benefits #orangebeach #alabama,"['#orangebeach', '#alabama']",0
565,2017-11-03,17:22:34,GUMCMarkAnton,@united hello? App says we're are due in early but we're sitting on the tarmac at BWI still. Help please,0.7579,0.0,0.0,0.0,1.0,hello app says due early sitting tarmac bwi still help please,,0
567,2017-11-03,17:16:19,durandrea,@united Thanks AD :D,0.7865,0.0,0.0,0.0,1.0,thanks ad,,2
569,2017-11-03,17:13:53,JesusHotWheels,"@united I did. It’s been an adventure today, but Tony Cantore has been great!",0.8221,0.0,0.0,0.0,1.0,adventure today tony cantore great,,1
582,2017-11-03,17:00:03,northeastMLA,#NeMLA18 has secured low travel rates with @United so you can best enjoy your stay in Pittsburgh this April!,0.861,0.0,0.0,0.0,1.0,#nemla18 secured low travel rates best enjoy stay pittsburgh april,['#nemla18'],2
598,2017-11-03,16:42:15,LauzeeTweet,@united Fantastic team on 3493! Perfect day for flying. Thrilled for 1K requal,0.8883,0.0,0.0,0.0,1.0,fantastic team perfect day flying thrilled requal,,3
602,2017-11-03,16:37:45,BritinBucks,Thank you @united you are getting me home 3 hours early. Great #service Global Services,0.765,0.0,0.0,0.0,1.0,thank getting home hours early great #service global services,['#service'],4
615,2017-11-03,16:17:20,NeilOKeefe,#FollowFriday thanks @united @MashupTweet @DrewNeisser - top Influencers members this week :),0.7717,0.0,0.0,0.0,1.0,#followfriday thanks top influencers members week,['#followfriday'],3
616,2017-11-03,16:15:09,DirectTravelInc,"Thank you to @united for a great event: we toured their worldwide operations center, heard industry updates, and saw new technology demos!",0.784,0.0,0.0,0.0,1.0,thank great event toured worldwide operations center heard industry updates saw new technology demos,,2
630,2017-11-03,16:00:32,ischafer,@united trying to process a WiFi refund for flight 637 on 11/1 but the WiFi refund page/site isn’t working. Please help.,0.7579,0.0,0.0,0.0,1.0,trying process wifi refund flight wifi refund pagesite is not working please help,,0
637,2017-11-03,15:56:34,JoeO17897893,@united great job for qt to mco#United2winNYC@QuicktEWRNs,0.7845,0.0,0.0,0.0,1.0,great job qt mco#united2winnycquicktewrns,['#united2winnycquicktewrns'],2
670,2017-11-03,14:48:31,lisaboban,"Wow. The ""service dog"" thing has really gotten out of hand. Lady boards my @united flight with huge dog taking up 3 seats!",0.8622,0.0,0.0,0.0,1.0,wow service dog thing really gotten hand lady boards flight huge dog taking seats,,1
671,2017-11-03,14:45:42,KelleyCabbana,Just landed in #new jersey @EXXXOTICA  thanks @united for my safe arrival ,0.7003,0.0,0.0,0.0,1.0,landed #new jersey thanks safe arrival,['#new'],0
686,2017-11-03,14:27:32,geomatm,@united @astros Thanks for getting them Home safely!,0.75,0.0,0.0,0.0,1.0,thanks getting home safely,,0
688,2017-11-03,14:25:06,J_Smith219,"Great work by the wonderful people of @united at LIH, LAX, and SAN!",0.8439,0.0,0.0,0.0,1.0,great work wonderful people lih lax san,,3
711,2017-11-03,13:45:15,KenMantel,"@united thank you for making Chase &amp; Meredith's first flight so great!! They loved meeting the crew,  and close up look! #sfo",0.9298,0.0,0.0,0.0,1.0,thank making chase and merediths first flight great loved meeting crew close look #sfo,['#sfo'],1
723,2017-11-03,13:24:07,KennyHoward12,"@mbeeson6 @united Growing up in Houston, my greatest desire for sports teams has been for the Astros to win the World Series. It finally happened!",0.9134,0.0,0.0,0.0,1.0,growing houston greatest desire sports teams astros win world series finally happened,,3
742,2017-11-03,12:45:08,welundrisk,Campaigners claim success as United Airlines removes foie gras from restaurant@united,0.7579,0.0,0.0,0.0,1.0,candaigners claim success united airlines removes foie gras restaurantunited,,0
756,2017-11-03,12:16:49,Irun2eat,@united Never got info from United. They announced we'd get rooms-then nothing. No one at United counter. Finally asked Airport info. They helped us,0.7571,0.0,0.0,0.0,1.0,never got info united announced wed get roomsthen nothing one united counter finally asked airport info helped us,,3
757,2017-11-03,12:16:36,seth_david,@united awesome service in Houston!  Thanks guys!  Cc: @MercedesBenz,0.8217,0.0,0.0,0.0,1.0,awesome service houston thanks guys credit card,,4
767,2017-11-03,12:05:38,KenHanscom,"Love 6am flights.  Just 18 hours until I am in Seoul, South Korea.  Going to be a great week. #PyeongChang2018 @united",0.8519,0.0,0.0,0.0,1.0,love flights hours seoul south korea going great week #pyeongchang2018,['#pyeongchang2018'],0
768,2017-11-03,12:00:53,USAndMumbai,Making it easier to #DekhoAmerica: Congratulations @United on the 10th anniversary of your direct flight from #Mumbai to #Newark.,0.7717,0.0,0.0,0.0,1.0,making easierekhoamerica congratulations anniversary direct flight #mumbai #newark,"['#mumbai', '#newark']",1
769,2017-11-03,11:57:23,TheAstroN8,"@UnitedFlyerHD @astros @united @iah Fantastic, Walter! Glad you were there!",0.8011,0.0,0.0,0.0,1.0,fantastic waer glad,,4
771,2017-11-03,11:55:13,DKARENA_,@6BillionPeople @Trilluminati250 @united lol despite how painful it is missing out I don't think its the best strategy to invest now,0.8023,0.0,0.0,0.0,1.0,lol despite painful missing do not think best strategy invest,,2
782,2017-11-03,11:18:58,Gabriel35212928,Congrats @united for great customer service. Flight attendants always very nice and courteous,0.9344,0.0,0.0,0.0,1.0,congrats great customer service flight attendants always nice courteous,,4
796,2017-11-03,10:23:42,joinswissport,Lovely words from @united at  @GLA_Airport - Thank you for another wonderful year and we look forward to seeing...,0.875,0.0,0.0,0.0,1.0,lovely words thank another wonderful year look forward seeing,,1
797,2017-11-03,10:23:32,joinswissport,Lovely words from @united at  @GLA_Airport - Thank you for another wonderful year and we look forward to seeing you soon! ️,0.8832,0.0,0.0,0.0,1.0,lovely words thank another wonderful year look forward seeing soon,,3
826,2017-11-03,08:58:01,BridgesAndrew,Not happy with @United and @AirCanada Star Alliance. Brilliant flight to 🇨🇦 w United. Nightmare going home with @AirCanada,0.8834,0.0,0.0,0.0,1.0,happy star alliance brilliant flight 🇨🇦 united nightmare going home,,3
835,2017-11-03,07:42:40,faremine,"Congrats to @emirates @united @VirginAtlantic @AirFranceKLM and all our agents, tour op winners last night @voiceoftravel #SPAAawards",0.7579,0.0,0.0,0.0,1.0,congrats agents tour op winners last night #spaaawards,['#spaaawards'],1
836,2017-11-03,07:28:26,radeaver,Congratulations @astros and nice job @united #WorldSeriesChamps,0.7717,0.0,0.0,0.0,1.0,congratulations nice job #worldserieschands,['#worldserieschands'],2
846,2017-11-03,06:29:21,genie_star,What the deuce 🤔@united getting in first with App. update to support #iPhoneX Great job  Can’t wait to try it out ,0.7783,0.0,0.0,0.0,1.0,deuce united getting first app update support #iphonex great job can not wait try,['#iphonex'],0
854,2017-11-03,06:05:12,chintanturakhia,@united @wakachamo same issue. internet explorer as a solution?? hahaha,0.7399,0.0,0.0,0.0,1.0,issue internet explorer solution hahaha,,1
869,2017-11-03,04:58:10,sengtex,@united @astros Houston we got very lucky here. United actually got them home safely. #minormiracle #dontdothatagain,0.854,0.0,0.0,0.0,1.0,houston got lucky united actually got home safely #minormiracleontdothatagain,['#minormiracleontdothatagain'],3
871,2017-11-03,04:56:04,vibhor_chhabra,Thanks @united for easily changing my flight so I could come a day early and surprise the family ,0.7506,0.0,0.0,0.0,1.0,thanks easily changing flight could come day early surprise family,,2
904,2017-11-03,03:44:40,RebeccaPalaci11,"@united That's awesome! Way to go, @astros !!!",0.7405,0.0,0.0,0.0,1.0,thats awesome way go,,2
909,2017-11-03,03:25:15,dustinkirkland,"@0xF2 @united @lufthansa Omfg yes, 800K times yes, please @united and @lufthansa!",0.7901,0.0,0.0,0.0,1.0,omfg yes times yes please,,3
914,2017-11-03,03:08:20,ANovik06,@united please help bring @ARobbins_ home for Thanksgiving @Delta won’t help!,0.7901,0.0,1.0,0.0,1.0,please help bring home thanksgiving will not help,,0
916,2017-11-03,03:04:45,Cheryl_Searle,"Last flight before retirement! Congratulations K.D., and thank you for your 38 1/2 years of excellence to @United! @weareunited #BeingUnited",0.9018,0.0,0.0,0.0,1.0,last flight retirement congratulations kd thank years excellence #beingunited,['#beingunited'],1
922,2017-11-03,02:47:15,arungupta,@united its a good curiosity :),0.7096,0.0,0.0,0.0,1.0,good curiosity,,0
938,2017-11-03,02:15:34,FlightWonk,@united @astros “We literally love to fly the Houston Astros” - love it!!,0.8745,0.0,0.0,0.0,1.0,literally love fly houston astros love,,0
952,2017-11-03,01:42:33,barivera,Love the @astros love on @united's page #HoustonStrong #EarnedHistory,0.8555,0.0,0.0,0.0,1.0,love love page #houstonstrong #earnedhistory,"['#houstonstrong', '#earnedhistory']",0
970,2017-11-03,01:28:14,LarsenJay,Thanks @united for a smooth flight to Chicago in a nice new plane!,0.7177,0.0,0.0,0.0,1.0,thanks smooth flight chicago nice new plane,,2
1001,2017-11-03,00:42:51,ShawnS754,"@OpenSkiesVoices As long as @Delta @united @AmericanAir give better as good service with comfortable seats, Americans will fly them.",0.8442,1.0,1.0,0.0,1.0,long give better good service comfortable seats americans fly,,4
1007,2017-11-03,00:35:36,MatheusHenicka,"@GrahamRahal @united @AmericanAir I'm a birthday today, day 3. I'm your fan Graham, here in Brazil, I'd like you to send me a happy birthday. :D",0.9106,1.0,0.0,0.0,1.0,i am birthday today day i am fan graham brazil i would like send happy birthday,,3
1010,2017-11-03,00:30:00,JeffSyptak,Welcome home @astros. Thanks @united for bringing the team and the #WorldSeries trophy home safely. #EarnedHistory CC: @darrinhall68 @iah,0.8442,0.0,0.0,0.0,1.0,welcome home thanks bringing team #worldseries trophy home safely #earnedhistory credit card,"['#worldseries', '#earnedhistory']",3
1034,2017-11-03,00:00:47,techienickb,"Thanks @united for the small upgrade on the seat, after our school trip to NYC . Group check-in experience was great and smooth. Ua016.",0.7906,0.0,0.0,0.0,1.0,thanks small upgrade seat school trip nyc group checkin experience great smooth ua016,,2
1037,2017-11-02,23:57:25,meetchoc,"On the long road home, LHR-JAC. Amazing experience aboard @united Polaris Business LHR-ORD, excellent food and service, as always!",0.8356,0.0,0.0,0.0,1.0,long road home lhrjac amazing experience aboard polaris business lhrord excellent food service always,,1
1048,2017-11-02,23:46:53,ajorgensen,@united For sure. Having to watch ads for the entire flight or pay for DirectTV doesnt make it any better. Thanks again for the prompt support.,0.8555,0.0,0.0,0.0,1.0,sure watch ads entire flight pay directtv does not make better thanks prompt support,,3
1068,2017-11-02,23:21:23,ajorgensen,"@united Also thanks for your prompt support, I do appreciate it.",0.8074,0.0,0.0,0.0,1.0,also thanks prompt support appreciate,,3
1072,2017-11-02,23:16:06,pet1713,Thank you @united! @astros home safe in Houston! ,0.717,0.0,0.0,0.0,1.0,thank home safe houston,,0
1076,2017-11-02,23:11:14,tardis1916,@united passed by one of my favorite planes at DCA today. United 757-300 getting ready to taxi to the runway.,0.8074,0.0,0.0,0.0,1.0,passed one favorite planes dca today united getting ready taxi runway,,0
1095,2017-11-02,22:55:08,AlexCleary373,@united She was a game changer  a true friend,0.7184,0.0,0.0,0.0,1.0,game changer true friend,,3
1098,2017-11-02,22:51:22,umanamd,@EMDocBrett @united Thanks my friend!,0.75,0.0,0.0,0.0,1.0,thanks friend,,3
1105,2017-11-02,22:39:44,EMDocBrett,@umanamd @united Good luck!!,0.7568,0.0,0.0,0.0,1.0,good luck,,0
1112,2017-11-02,22:35:13,alisakasmer,"@united Hi yes, I was told to go to appreciation page, filled out info &amp; said I didn’t qualify. It directed me to some customer care page to inquire",0.8481,0.0,0.0,0.0,1.0,hi yes told go appreciation page filled info and said did not qualify directed customer care page inquire,,4
1116,2017-11-02,22:33:01,mgiglesias,@rasmus @united Like @AmericanAir EZE-MIA which is also a 777-300 ER. Love those Biz seats. Also do it 3x year roundtrip. Wanna do it for @codear 2018?,0.7717,1.0,0.0,0.0,1.0,like ezemia also er love biz seats also year roundtrip wanna,,0
1117,2017-11-02,22:32:16,alisakasmer,"Hey @united I sent an email a week ago re: appreciation gift. *crickets* After two awful flights in one day, it’d be wise to email back",0.743,0.0,0.0,0.0,1.0,hey sent email week ago appreciation gift crickets two awful flights one day itd wise email back,,3
1120,2017-11-02,22:30:57,JonnaGerken,"Pleasant surprise at the end of @hemispheresmag, thx @prattandwhitney for honoring the @united retiring 747 fleet",0.8807,0.0,0.0,0.0,1.0,pleasant surprise end thx honoring retiring fleet,,2
1131,2017-11-02,22:06:50,kellystraniero,@united @SouthwestAir I should have never left you my sweet sweet bae.,0.7184,0.0,0.0,1.0,1.0,never left sweet sweet bae,,0
1144,2017-11-02,21:57:20,NikoMetsPlus,"That’s cool, @United’s site showing “Congrats, Houston @Astros!” Now, if only it could say Congrats to the #Mets... (cc. @AirlineFlyer)",0.7177,0.0,0.0,0.0,1.0,thats cool site showing congrats houston could say congrats #mets credit card,['#mets'],2
1192,2017-11-02,21:06:54,FDTreport,Also can't get on early upgrade list until checkin even though 1st leg is operated by @americanair - @united @delta looking better &amp; better,0.7003,1.0,1.0,0.0,1.0,also can not get early upgrade list checkin even though leg operated looking better and better,,3
1197,2017-11-02,20:53:24,gjaxson01,@united here is a photo of my son Gabe in Saipan at the @United Booth for Trunk or Treat!  Friendly Staff &amp; great display! #mileageplus,0.8906,0.0,0.0,0.0,1.0,photo son gabe saipan booth trunk treat friendly staff and great display #mileageplus,['#mileageplus'],4
1198,2017-11-02,20:53:04,paestef,Great day to fly into @phlairport  Thanks @united for the smooth flight!  #united…,0.807,0.0,0.0,0.0,1.0,great day fly thanks smooth flight #united,['#united'],3
1207,2017-11-02,20:39:38,TravelsizeRobot,"Wanted to give a late #shoutout to @United for handling our 9/28 #Brussels -&gt; #Chicago flight cancellation so well, good job team.",0.7113,0.0,0.0,0.0,1.0,wanted give late #shoutout handling #brussels #chicago flight cancellation well good job team,"['#shoutout', '#brussels', '#chicago']",2
1208,2017-11-02,20:38:14,Laura_samota,"Hi @AmericanAir @united I can’t fly home for the holidays bc your flights cost twice as much as last year’s, I hope your CEOs fall down a well",0.765,1.0,0.0,0.0,1.0,hi can not fly home holidays bc flights cost twice much last years hope ceos fall well,,3
